"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 02 14:21:52 CDT 2022","Sat Jul 02 14:21:53 CDT 2022","343","","eComerce","","eComerce","borrar_direccion","borrar_direccion()",""
"passed","Sat Jul 02 14:21:53 CDT 2022","Sat Jul 02 14:21:57 CDT 2022","4048","","eComerce","","eComerce","crear_anuncio","crear_anuncio()",""
"passed","Sat Jul 02 14:21:45 CDT 2022","Sat Jul 02 14:21:47 CDT 2022","1913","","eComerce","","eComerce","obtener_token_usando_auth_email_pass","obtener_token_usando_auth_email_pass()",""
"passed","Sat Jul 02 13:47:16 CDT 2022","Sat Jul 02 13:47:16 CDT 2022","381","","ejemplo_test_api","","ejemplo_test_api","api_covid_test","api_covid_test()",""
"passed","Sat Jul 02 14:22:05 CDT 2022","Sat Jul 02 14:22:06 CDT 2022","1057","","eComerce","","eComerce","crear_alerta","crear_alerta()",""
"passed","Sat Jul 02 14:21:51 CDT 2022","Sat Jul 02 14:21:51 CDT 2022","328","","eComerce","","eComerce","crear_direccion","crear_direccion()",""
"passed","Sat Jul 02 14:21:51 CDT 2022","Sat Jul 02 14:21:52 CDT 2022","1093","","eComerce","","eComerce","editar_direccion","editar_direccion()",""
"passed","Sat Jul 02 14:22:01 CDT 2022","Sat Jul 02 14:22:01 CDT 2022","317","","eComerce","","eComerce","borrar_anuncio","borrar_anuncio()",""
"passed","Sat Jul 02 14:21:50 CDT 2022","Sat Jul 02 14:21:51 CDT 2022","724","","eComerce","","eComerce","actualizar_telefono","actualizar_telefono()",""
"passed","Sat Jul 02 14:21:57 CDT 2022","Sat Jul 02 14:22:01 CDT 2022","4096","","eComerce","","eComerce","editar_anuncio","editar_anuncio()",""
"passed","Sat Jul 02 14:21:42 CDT 2022","Sat Jul 02 14:21:44 CDT 2022","1660","","eComerce","","eComerce","obtener_categorias","Test case: Validar que se desplieguen todas las categorias",""
"passed","Sat Jul 02 14:22:03 CDT 2022","Sat Jul 02 14:22:04 CDT 2022","713","","eComerce","","eComerce","editar_datos_del_usuario","editar_datos_del_usuario()",""
"passed","Sat Jul 02 14:22:02 CDT 2022","Sat Jul 02 14:22:03 CDT 2022","1678","","eComerce","","eComerce","obtener_detalle_del_balance","obtener_detalle_del_balance()",""
"passed","Sat Jul 02 14:21:47 CDT 2022","Sat Jul 02 14:21:48 CDT 2022","1392","","eComerce","","eComerce","obtener_mi_usuario","obtener_mi_usuario()",""
"passed","Sat Jul 02 14:21:49 CDT 2022","Sat Jul 02 14:21:49 CDT 2022","393","","eComerce","","eComerce","obtener_informacion_del_usuario","obtener_informacion_del_usuario()",""
"passed","Sat Jul 02 14:22:02 CDT 2022","Sat Jul 02 14:22:02 CDT 2022","116","","eComerce","","eComerce","obtener_balance_del_usuario","obtener_balance_del_usuario()",""
"passed","Sat Jul 02 14:22:04 CDT 2022","Sat Jul 02 14:22:05 CDT 2022","475","","eComerce","","eComerce","obtener_resumen","obtener_resumen()",""
"passed","Sat Jul 02 14:21:48 CDT 2022","Sat Jul 02 14:21:49 CDT 2022","545","","eComerce","","eComerce","editar_usuario","editar_usuario()",""
"passed","Sat Jul 02 14:22:01 CDT 2022","Sat Jul 02 14:22:02 CDT 2022","501","","eComerce","","eComerce","anuncios_pendientes","anuncios_pendientes()",""
"passed","Sat Jul 02 14:21:44 CDT 2022","Sat Jul 02 14:21:45 CDT 2022","1353","","eComerce","","eComerce","obtener_token_usando_header_authorization","obtener_token_usando_header_authorization()",""
"passed","Sat Jul 02 14:22:06 CDT 2022","Sat Jul 02 14:22:07 CDT 2022","1297","","eComerce","","eComerce","borrar_alerta","borrar_alerta()",""
"passed","Sat Jul 02 14:21:49 CDT 2022","Sat Jul 02 14:21:50 CDT 2022","892","","eComerce","","eComerce","crear_usuario","crear_usuario()",""
"passed","Sat Jul 02 14:22:05 CDT 2022","Sat Jul 02 14:22:05 CDT 2022","181","","eComerce","","eComerce","obtener_tiendas","obtener_tiendas()",""
